WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH
SNOW,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",01/14/2025 12:38,IMPROPER TURNING/NO SIGNAL,IMPROPER OVERTAKING/PASSING,6352,N,SHERIDAN RD,2433,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,12,3,1,2,0,12,3,1
UNKNOWN,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",05/27/2025 10:40,IMPROPER OVERTAKING/PASSING,IMPROPER OVERTAKING/PASSING,3555,N,WESTERN AVE,1921,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,9,6,5,2,0,9,6,5
CLEAR,UNKNOWN,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",04/05/2025 21:23,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1005,N,DRAKE AVE,1121,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,20,7,4,1,0,20,7,4
CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,05/23/2025 9:16,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2901,W,DIVISION ST,1211,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,2,0,9,6,5,2,0,9,6,5
SNOW,DAYLIGHT,REAR END,FOUR WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",01/14/2025 8:45,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,4001,W,111TH ST,2211,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,3,1,2,0,8,3,1
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/14/2025 13:44,UNABLE TO DETERMINE,NOT APPLICABLE,2406,W,ARTHINGTON ST,1135,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,3,1,1,0,13,3,1
CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",03/16/2025 23:22,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,850,W,87TH ST,613,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,23,1,3,2,0,23,1,3
UNKNOWN,UNKNOWN,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",12/04/2024 8:40,UNABLE TO DETERMINE,NOT APPLICABLE,5101,S,KEDZIE AVE,923,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,4,12,2,0,8,4,12
CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE OPPOSITE DIRECTION,NOT DIVIDED,,STRAIGHT ON GRADE,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,"OVER $1,500",10/05/2024 4:50,IMPROPER LANE USAGE,NOT APPLICABLE,1600,W,MONTROSE AVE,1912,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,3,7,10,3,0,3,7,10
CLEAR,DARKNESS,FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,N,"OVER $1,500",09/09/2024 16:00,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,4640,S,CICERO AVE,814,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,22,7,9,1,0,22,7,9
RAIN,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,,STRAIGHT AND LEVEL,WET,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/04/2024 21:30,UNABLE TO DETERMINE,NOT APPLICABLE,4800,W,LEXINGTON ST,1533,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,2,11,2,0,20,2,11
CLEAR,DUSK,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",01/14/2025 17:00,FOLLOWING TOO CLOSELY,NOT APPLICABLE,1198,N,SACRAMENTO AVE,1211,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,3,1,2,0,16,3,1
CLEAR,DAYLIGHT,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",05/23/2025 9:33,DISREGARDING TRAFFIC SIGNALS,FAILING TO YIELD RIGHT-OF-WAY,498,W,18TH ST,1235,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,9,6,5,2,0,9,6,5
CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",05/23/2025 23:30,IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,10250,S,STONY ISLAND AVE,511,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,22,6,5,2,0,22,6,5
CLEAR,DUSK,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,12/04/2024 17:43,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,5816,N,BROADWAY,2013,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,4,12,2,0,17,4,12
CLEAR,DAYLIGHT,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",05/23/2025 16:45,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1448,W,111TH ST,2234,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,16,6,5,4,0,16,6,5
CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",03/27/2019 16:27,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,6223,N,CALIFORNIA AVE,2413,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,16,4,3,4,0,16,4,3
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",12/04/2024 13:30,NOT APPLICABLE,NOT APPLICABLE,3850,N,CLAREMONT AVE,1921,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,4,12,1,0,13,4,12
UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",01/19/2025 15:22,NOT APPLICABLE,NOT APPLICABLE,2634,W,LE MOYNE ST,1423,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,15,3,1,1,0,15,3,1
CLEAR,DAYLIGHT,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/14/2025 17:50,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,3598,W,BRYN MAWR AVE,1711,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,3,1,2,0,13,3,1
RAIN,DUSK,REAR END,FOUR WAY,,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",03/16/2025 4:19,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),NOT APPLICABLE,7900,S,LAFAYETTE AVE,623,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,4,1,3,1,0,4,1,3
